text,sentiment
"might be seeing my god mothers little boy in a bit  . Leon, so cute <3333",positive
_g my day just hasnt been the same without ur running conversation all day,neutral
"..Get Over On His Mom & Now I Feel Horrible, He Must Think I am.  That`s Not What I Meant. Just Thought It`d Be Better Than The Brunt.",negative
"Hey,  I`ll be in sa then  maybe if we cross highways we can grab lunch?",neutral
 I`m sleeping on the wooden couch tonight!,neutral
Happy Star Wars Day!,positive
" thanks clair, I haven`t watched it yet.",positive
Just updated #Tweetie and open in browser is still broken.,negative
 Go for it! Chinese sounds yum!,positive
is off to Body Power Expo! Thanks to Mike at Performance Network for the free tix!,positive
How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely...I`m so sad,negative
Had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*,positive
 that`ll do it too,neutral
Cashflow forecasts are fun but big red numbers aren`t,neutral
kinda has a headache...,negative
is playing around && having fun with little kids right now  hahahahaha,positive
 i will,neutral
uploading new videos on youuuchuuub!,neutral
" Sorry blokey, 6 hrs later & i`m still holding ur fluffy towel. had to dash. Hope u found other means to dry ur self",neutral
 Just saw you on TV for the Best Job in the World. Good luck.,positive
"Goodmorning tweedles  very happy mood, i think i will always be after this past weekend. lol vids of the `BEYONCE WEEKND` coming soon.",positive
Photovia secondstar05) i dreamt i was doing spells from harry potter yesterday night lol  i loved it. http://tumblr.com/xyt1qynya,positive
"Steve makes fruit smoothies for me each day & they are berry delicious, I made mine today & it was berry, berry bad",negative
 I think you forgot a couple exclamation points.,neutral
" arg..tried one pic, but she moved so i failed to save it...then they never showed her feet again  but they were purty!",neutral
"wow my grandma passed away....I`m too sick to even think, I know she`s in a better place now",negative
perky purple nail polish isn`t as perky when its chipped,neutral
around...takin it easy tonight b/c i`m still sick,negative
 I hope they come,positive
Just got home from a work.. and not looking forward to it tomorrow morning! Oh and tomorrow night! Great,positive
" Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",positive
 good luck with you finals!!!,positive
 I guess that`s true!,positive
Just spent the evening at a gala for her high school drama company`s 20th anniversary. Lots of memories,positive
Annoyed,negative
 Just the mother of all bad days,negative
 Is that why your blog is set to private?,neutral
OMG i havent been on twitter all day  going thru withdraws,neutral
So bored.... couldn`t go to a-kon...,negative
" grabe, norms. i researched; dami pala flamenco forms and sub-forms. kaloka!  i attempted a Solea. kaloka ang 12-beat!",neutral
  so far surprisingly good responses. My dad offered to airbrush the old logo on the wall..but I think that might be overkill,positive
"I am increasingly convinced that I am moderately lactose-intolerant - given my deep and abiding love of cheese, this totally sucks",negative
 I don`t know how you do it,neutral
dangit. LSU w/ a 7-spot in B7 now leads Southern 8-2.  Was intentionally not mentioning anything and it got jinxed anyhow.,negative
" no I won`t honey I got mad yrs to go , why am I crazy?",negative
 Hi Serena just want to say good luck in Madrid and Paris this month,positive
 suck it up,negative
has today off! But has to work tomorrow,neutral
"Back in Glasgow, stuck in traffic on the M8",negative
Day dreaming of Fuzzball and SNL  http://fuzz-ball.com/twitter,neutral
 so seriously...I need a date to a wedding. Really dont wanna go alone. Its May 23rd...any chance?,negative
 what is it? i cant get onto bebo on this one!,neutral
 Happy Mothers Day!,positive
On my way to school!,neutral
" Yeah, that was my thumb last night. Sorry",negative
 He`s totally ignoring me!! How sad!  I am heartbroken,negative
at least I get to watch over time  Let`s go Pens!!,neutral
Eminem`s new song 'Beautiful' is amazing!. Listen to the MAGIC right NOW!!  http://www.myspace.com/steve005,positive
bored well its not like any one can see this i havent got any friends,negative
I`m twitterring and facebook-ing and blogging and myspac-ing and bullshitting,neutral
just waking up...ahh i have a headache,negative
_ ay beezy! finally lol its time to hookah so get off twiiter...love ya,positive
Through to quaterfinals of charity football tournament. My penalty save sent us through,positive
 hello 30stm-fan  another one that`s cool. i don`t know one fan of them in person only via the net  so how are you?,neutral
 i wish there was an 'i like' option (like fb) for things like this,positive
"Well, #Evernote is giving away Wireless SD cards 4 fllwng thm on twitter & tweeting abt #evernote_eyefi But US/CAN only  http://tr.im/mPxn",neutral
back to work,neutral
charbotgreen has been suspended  'unusual activity??',negative
So it`s Friday... I have to keep reminding myself since every day seems the same,neutral
 All the best with the Cup Final today. Have fun,positive
does not like ups much today...,negative
- going somewhat out of town? (x visitng uncle boyet & famm!,neutral
 i knoww  she is da best!,positive
most of da time on gtalk ! pls make my follow count 600,neutral
Heading out to do a relay in the Belfast marathon,neutral
Just had some babi pangang. Now off to friends. Tomorrow it`s working time again,neutral
 good and you cup cake,positive
 I follow u lol,neutral
Um k.. this is NOT Close My Eyes.. this song always makes me cry bc my mom is gone but I <3 it anyway..,neutral
"When life, as you know it, doesn`t exist anymore.",negative
 lol trying to take after her old man eh? Good for her! hehehe very cute!,positive
 Press `Ctrl` on bottom right. It`s there.  KY,neutral
Woke up at 8:30am....now 10:30am and no clue what to do....?,neutral
31 degree centigrade is much hotter than 30 degree centigrade,negative
 - 05/31 marks the end of our roommate era. And you never made me empanadas again.,neutral
workin.. still lol i wanted to go to the spring game,neutral
_ yaaaay mish is following gab!,neutral
"On way to exam, very very nervous  bah",negative
Happy Mother`s Day to all you moms out there,positive
actually I could do with going to weight watchers,neutral
Super pumped to do the 'Relay for Life' tonite. I am walking in honor of my sweet Grandpa `06 and my Uncle Howard who past just yesterday,neutral
 Thanx sis I`ll b sure to let them know how many people r praying w/them...,positive
Will cook a sumptuous lunch today,positive
" harrump gagging for beer, noone wants to play",negative
 so go back for more,neutral
"todays line up: more work on OS bluetooth app, a brief stint with Uniservity and if I get time some CS4 tutorials... busy bank holiday",neutral
recovering from mexican fiesta. Had a bit too much of a good time!,positive
 Indeed I did get your song however am unable to listen.,neutral
    from g`s to gents season 1,neutral
MY best `thing` on the planet,positive
So its my bday weekend and **** is already headed south...might have to drive to atl tonight,negative
 I would much rather you didn`t punch yourself in the face...it might hurt,negative
" Hey Kelvin, my day`s been fantastic so far! We`re getting ready for a family Mother`s day function shortly",positive
 LOL I feel like drunk right now...,negative
"I hate to say this, but CLA really should have had a press conference or something today.",negative
 You`re welcome.,positive
watching spongebob,neutral
" oh nos, what happened",neutral
on jacksonville beach walking in the cold **** water   but have to work in the morning   ily <(`-`)>,negative
"Wishing I could go with  to SoCo to go climb, instead I`m stuck at work all weekend",negative
_ann_cole  i thinks thats right lol... please follow me... much appreciated,positive
Hoping I at least have fun 2nite.  Today was 1 horrible way 2 start off a birthday,neutral
"  Yeah, I only drank a little bit anyways. It definitely was the show and not the drink!!",neutral
just left work. inventory was way easy  and I got to put in my highschool musical 3 cd! it was amazing. goodnight goodnight everyone :],positive
" Good morning! Aww, sorry that you were stuck in the airport for 12 hours!!",neutral
_com Ohhh got it. It`s the 8830 I think  I miss the Pistons  I really hope Joe D cooks up something big!,neutral
" thanks, u 2!!! Idk if Im going or not... I don`t feel like getting all dress up and doing my hair!!!  LOL",neutral
HAPPY MOTHER`S DAY,positive
I think I might fall in love with jihoon in boys over flower.,positive
" Aw, sorry ur day sucked!  Did u see my post abt car issues? LOL I think it`s safe to say it can only get better tho. Beer-thirty?",neutral
2am feedings for the baby are fun when he is all smiles and coos,positive
 it looks like you have a lot of fun with lady gaga,positive
I  do not want to work tomorrow!,negative
@__SANDY i dont know! they sent out emails using my account about random stuff i didnt even understand i changed all my passwords,negative
"oh no  according to laineygossip, taylena is OVER!  bc of his fame?! gosh poor  two heartbreaks in a row :-/",negative
 haha i love both of them too  hmm.. lol i`m in need of some good bands too,positive
"wow, 5 pm rolled around really fast. I accomplished only one thing on my to do list today...",negative
"Going out to eat with my entourage, probably to Fat E`s since they`re closing tomorrow!   watching a movie with Jimmy tonight, text me....",neutral
Cuba trip booked,neutral
"I have to pee (**** coffee)  sooo long until break time. 77 more letters...what to write, what to write..oh, used them all up.",neutral
just 3 days left for the offf 2009 http://www.offf.ws/ in oeiras portugal... see you there,neutral
why have 3 people stopped following me  is it something I said??,neutral
" i think i`ll pass the worm! haha, but good morning!",neutral
Cops tell #Tori`s Dad they may never find her remains  http://lfpress.ca/newsstand,negative
 too bad i dont have either,negative
 i miss you!!  stupid work!,negative
 *bows*  I try...sometimes it is hard,negative
 ya mine too but for very different reason,neutral
Just sat down to play a quick hand of poker and won $5k on my first hand with a flush. I`m done for today,positive
" ITS A BANK HOLIDAY STUPID!! wait, they don`t have bank holidays in America... Okay keep on celebreting",positive
 you wish,neutral
 omfg  whyyyyyy not that sucks!!! and r18?? wtf...  T.A.I. getcho` asses down here,negative
 why do you think so?,neutral
" sweetie pie, buttercup, married ppl share hehehehehe.....this includes ur shoe collection  I am trading UP!",neutral
 same thing happens to me all the time,neutral
 it`s a dreary monday morning and I slept like ****...give me a break...,negative
contemplating borrowing one of my moms dogs just for today..i want to take care of someone.,positive
Thank you all for your incredible support and encouragement-it means so much!! You constantly bless me & I am thankful for you!!,positive
  Thank you and Happy Mothers Day to your Mother also SNL tonight,positive
" no email?   just kidding, it can wait filling out form now... seriously.",neutral
"I miss my doggy,my hammy,my turtle && my fishes",negative
Chilling with Colton who just redesigned the Cocktail Hacker card backs for me.,positive
Tucking myself in tonight  Mogwai on repeat,neutral
@_chellebelle_ hey! aww i cnt view it in the UK they`re blocked  what it it??x,negative
high & dry goin to have an ice cream now with my best friend.,neutral
 Cover the tomm. event baby! Id like a live blogging on it,neutral
wishes Happy mother`s day to all mothers!!!,positive
"Making a mix! 22 minutes so far, aiming for 30 minutes  loving it so far!!!  DJ Sugarfree",positive
 good to know PLN`s Earthday doesn`t only happen in my neck of the woods,positive
Oh.... great.  I think I`m getting sick.,neutral
 ty for feeding our NK addiction..ermm i mean our uhh nope yup addiction covers it,positive
is watching the jonas brothers special on sky movies,neutral
Organic chemistry  ah so confusing!,negative
Hugh Masekela pix online + Contern - T71 pix + review @ http://clada.lu -> coming up next Naturally7 Concert this evening,neutral
What!?!,neutral
is wishing good night everybody,positive
 oof. perhaps it`s time to start a #moronmonday shout-out meme,neutral
_**** it was indeed  made my life!,positive
I`m getting back into  again,neutral
And I wanted us to leave at 12:45 to do a 1 p.m. showing (staff retreat mini),neutral
 Im doing great thank you,positive
ARGH!! watching batman,neutral
I have to give up my beloved Red Sox tickets!! Argh! Meeting was just scheduled in CA...,negative
It`s so cold out there! I`ve just lost my wallet,negative
 the script are amaaazing! Rusty halo and i`m yours are my favourites,positive
" Munch away, my dear Watson, Munch away",neutral
 work at 6am. Gotta go to bed soon,neutral
"just finished an exam, every1 else has finished cos I chose i different course to my friends I have one more exam on Thurs next week",neutral
"YAWN! Ow, caught a cramp  maybe I should take a nap",neutral
 my friend sent u call bck messages. i dunno if you could reply but she has no credit thts all.,neutral
_coza  Yep. Live and learn,neutral
"Whew, the first night and day of summer were.....very sad  But, I have Jess`s grad party to go to tonight!!!",neutral
good afternoon.  http://plurk.com/p/suyev,positive
going to shower because i don`t want to smell at school tomorrow,neutral
 thanks dinno  appreciate it,positive
" I did do that one Twitter while driving, although the iPhone keypad sucks for driving and typing",negative
 it was nice to meet you tonight & thanks!!,positive
" Man, that sucks and I feel your pain... if you were local, I`d buy you a cup of coffee.",negative
"I know people say that power naps are good for you all the time, but I kinda always miss the alarm",neutral
I dont believe in my eyes or should I say on my browser? OMG OMG OMG,negative
is sad because his tea and oatmeal are cold,negative
character designs complete! .... in about a week we`ll give another sneak peak... stay posted!,neutral
"City Dippin iz u fun, so much eye candy out here...I remember y I miss  LOL",positive
waitin 4 the skool bus soo tired nd still soo much 2 do...want 2 b lazy nd sleep but since I cnt ill sing all my fav songs,negative
 If only they weren`t in Shelby Twp,neutral
and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,negative
"I have been called by my friend the bed. It is time to acknowledge the inevitable.  Goodnight All, Hello Sleep",neutral
 i bet they will be great bags! Can`t wait!,positive
 wasnt it sad?  was the 3d good?,negative
Sad that the Statue of Liberty will completely reopen 2 weeks after our NYC trip.,negative
 Your missing qualifying  I think David Reutimann is leading with a 22.96 ....,negative
On Security Audit,neutral
Awwww ur already gone,neutral
Oh boy this is going to be a loooooong day,negative
 sorry  friends - I`m swamped with deadlines right now and we have family visiting to boot! No charades for me.,negative
"_carter It says 'This video is private.', WTF????",negative
 its my going away partyyy  `s.  you should come!,neutral
home sweet home  sleeping until monday I hope.,neutral
 what?! Come as you are!!! But erock just left  bah D:,neutral
"Morning tweeple,way to early again",neutral
Rachmaninoff makes me a happy panda.,positive
too much sulking over being single going on tonight on tumblr - gru3some: I am here to save the day.  http://tumblr.com/xd51qx88b,neutral
I am slowly getting angry at this Jon and Kate Plus 8 thing,negative
" ROFL  Even if I kept insurance and payments under $300, Im still like.. meh. Good thing I applied for a day job pasy $2888mo",positive
"Far too sick to sing.  I`ve got a post nasal drip and a sore throat, just sent my sorry I won`t be there email",negative
I right here...don`t worry,negative
Off for a loooong weekend of inlawing...  ... ...,neutral
_ was yeah... work in 7 hrs  how you,neutral
 well just remember that tmrw is another day and hopefully won`t be as craptastic. sorry girrrrl,neutral
just got thru watchin  on bones now topping off with House reruns,neutral
First sports banquet without katie,neutral
 Unfortunately I didn`t see any of that spreading of poo,negative
"Going to bed, with peter.",neutral
 its been clownin since it got flooded in htown in april. Got it repaired or so I thought.,neutral
I dont associate with fake asses!,negative
" Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards",negative
 i need a hug i dnt feel so good,positive
"I want tuna & salmon sashimi, B.C. rolls and dragon eye.",neutral
 i miss you too,negative
I do hope many of my new followers are from around Sydney Australia  Welcome to my tweets anyway.,positive
Home from a day of pampering with mom & dinner with family. Am currently snuggied up on the couch with a glass of wine & a new book. Ahhh,positive
" Nah... to be honest, I`m not a `drinker` as such....  would rather have a protein shake and go for a run LOL",neutral
"Oh.  The voting is over!   But don`t worry, I already voted for you about 100000000000000000000000000000000000 times earlier!!!!!!  <3",positive
"Out if class!! Yow party + four hour lecture don`t mix attal!! I had to drink 3 red bulls & I`m still sleepy .,,,,smh! Alrite bedtime",neutral
" Anytime! I`m off ~ I can`t match your stamina... my nice, warm, comfy bed is calling (screaming) my name...lol Night Ninja!",positive
Is still stuck in the office working!,negative
Inspite of the spams.. I can`t stop losing this twittergadget. I love twitting from Gmail,positive
 my power went out as well.. Except I`m in nor cal,neutral
Smith/Amherst mini-reunion last night was fun- how i miss the old days,neutral
zoombezi bay was soooo fun!! buuuut my legs are soooooo sunburnt,neutral
Awe i feel so left out,negative
knee surgery.... back home for about 6 weeks,neutral
" LOL. dood, i love you and miss you.",neutral
 Great Podcast!  I wish you guys had more Chi shows this summer.  The only times I will see you will be at Alpine,positive
chris sab and i = COMME ESTAS ****,negative
I hear you ...,neutral
  anytime..  Why ya gonna be up so late?,neutral
" great to hear you saw Slumdog Millionaire! And yes, that`s a Bollywood thing at the end",positive
Ryan Stiles is still the funniest man ever. Got some great news and some not great news tonight. So happy I could burst,positive
" watched the standard dvd 3d version, no blu in UK yet, 3d effect was best I have seen on home system yet, **** in 3d",positive
" oh look! traditional Chinese, it`s so charming   I love the ? miss those shutters on the doors...",neutral
just listened to Domination by Pantera on Grooveshark: http://tinysong.com/36pz,neutral
 Well I can`t get Cupcake because I can`t connect to T-Mobile`s network because my SIM card is corrupted,negative
I think my iPod touch may be breaking itself.,neutral
 thanks for FF wink,positive
On our way to Disneyland... Without Retsi,neutral
" HEY, BABEE. ) LOVE YOOOOUUU. >< RP time.",positive
" There are 3 other Drs. in the office and only mine does this  It drives me nuts, especially when it is an appt. for my kids.",negative
I ran outta bathroom passes.  maybe mrs. French will be nice today?,neutral
"  Blushing, blushing & once again blushing!",positive
Varsity Fanclub will never be the same!!,neutral
" this has been like the never ending story....all I seem to be doing is packing and now unpacking!!! Soon over, great here",neutral
"  we`re gonna miss you. dont worry, there will be more for sure!",neutral
 I will post it later. Its not on my comp,neutral
 I love finding regional groups of Twitterers! Glad I could connect you with a few new people,positive
would like to go back to bed. horrible headache pounding behind my eyes and all over my skull,negative
wishing i had marvelous misadventures of flap jack on DVD,neutral
 I love catching people singing in their cars. Even better if they`re dancing,positive
Fakin` kisha...just my luck!,neutral
 I kno I kknow ... sigh... been on. but it sux,negative
 Do you have any idea when the (not so) patient fans will see some teaser pics of you all in costume?,neutral
"Caught up with apprentice last night, poor Howard, it was Lorraine`s turn to go",neutral
OUCH! my earphones just shocked me,negative
 Your DM never sent,neutral
"why did I get airbrushed ****, if soon as i put my dress on it messed it up a little...eerrrr",neutral
 how was the ice cream?,neutral
 my knee is hurting so bad im limping...so we get to suffer through work together,negative
 Thanks man.  That sorted it. I only ever remember 222.222,positive
"_01 here is winter, but not snow",neutral
: have fun focus grouping! i have no participants as of yet..,positive
I wish pitchfork would shutup about #primavera.  Makes me miss spain,negative
And then you find out today they had there first kiss! },neutral
"has applied for OSAP yet again- God, I`m gonna owe major $$$ by the end of my academic career, this just ain`t right!!",negative
 that really sucks I feel bad for you at least I woke up at eight.,negative
 Tyler Perry is Hilarious! I think I will.  I`m off to bed though so I tweet ya in the morning. Goodnight!,positive
 seriously?? link plzz,neutral
Done with HW...gonna read a bit then pass out. Got a cool week to look forward too in between all the mayhem,neutral
"first year in ages where i`m not going to the crafty raft :O i don`t mind though, i don`t even like the crafty raft",negative
Goodmorning twitter bugs.. happy monday to you all! Today marks my first official day at my first fulltime job.. time to get ready!,positive
i think i have a fever,neutral
I`m drawning in emails,neutral
why does it randomly hangup on me?,neutral
" Blow me away it IS raining harder here. Yay you, well done",neutral
made a little cover for my iphone.  the birds aren`t upside down on the back  http://twitpic.com/67tp9 & http://twitpic.com/67to5,neutral
 Hey! Polka dots or black dress. Both very glam. Mobile twitter`s a bit **** at the mo.,neutral
 I could have! I had extra tickets. Plus we had two Twitter Giveaways  We`ll get you next time.,neutral
"cannot go, cannot refused to feel the pain",negative
"I so don`t wanna go outside, I don`t have anything to do there  Maybe I will write later...",neutral
 But now it`s gone,neutral
haha @ playing fall out boy in a bar full of older people.  they`s need to be educate.,neutral
  BUT THEY ARE EXPENSIVE.,negative
seriously getting hurt.... 4 days before nationals.. what a joke,negative
haha gunna go buy a whole bunch of emo/punk clothes,neutral
 too late!  already finished the chapter and posted it!,neutral
av ad a realy gd day wiv Ciara Connolly at  park gate west kirby and new brighton.. fukin funny bt sunburnt.. luks like drivers arm,positive
 My pleasure,neutral
_is_one84 Those suck so bad.,negative
 yeah. xD were so close already! xD i can talk to u about anything!  i love u gurrl. x3,positive
 cool  that`s good. You back on trains for a while?,positive
is a sleepyhead. looking forward to tomorrow. i love his family.,positive
eating halls cuz i have a sour throte,neutral
I feel bad for John and Kate. And the 8.,negative
 yeah  and _LilJess_x did only ones that care for me,neutral
can`t wait to make that call tomorrow. gotta keep moving forward!,positive
 ok - thats enough!,neutral
the plan to not spend money is not going well,negative
Conserve water. Take showers together,neutral
Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765,positive
"Really Wish i could see dave from  again, missing him already",negative
going to southland,neutral
Slipped up and caught the flu  feeling like poop!,negative
" Hi Nic, i was so excited to heard that PCD will perform in Jakarta. I hope u will visit my town, Bali as well. Love Ya !",positive
"Back in lancaster bored already, can`t wait to start work! Missing hel!",negative
[BBC] Malaria parasites becoming resistant to drugs  http://trunc.it/9yn5 ~ this is really not good as Malaria affects so many people,negative
"According to , a quarter of families under six live in poverty.",negative
Time for a clean up.,neutral
Ok so this shower has been calling my name for about an hour I think I`ll indulge & respond now while I allow Robin Thicke to serenade me,neutral
Is hungry with a sub,neutral
Going crazy  super head ach from hell and my the in laws have ben here since 9 this morning. ahhhh,negative
 ooh ouch!   lovely weather but ****! cover up sugar! x,positive
"a reply from  would  make my life, he replies usually to the people who call him ****, then he tells them he willblok them",negative
 I listening Your album on youtube. So awesome. But i can`t buy it,positive
 So romantic!!!!I hope you both have an amazing time...and paparazzi don`t follow you!!You need more privacy with Doug  xoxo,positive
 Plenty of good trivia on wikihow. Just trying to help  hope u got to sleep by now.,positive
am bored out of my skull.  i have got to get a job.  this SUCKS.  i need entertainment. /grumbles,negative
@ Barbs trying to figure out y the dsl aint connecting. I need my google. Going home to my computer if it don`t start working soon. SMH,neutral
  - I always appreciate your 'musings.',positive
Dang baby i love you ma,positive
is goin out  to  dinner!,neutral
Charley horses in both legs all night. What the ****?,negative
Looking for a new laptop battery. Why are they so expensive??,neutral
Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  **** Microsoft...,negative
 that and being so careless with her vocals.,negative
 the kid that got a second chance shudnt have. mowgli didnt. gutted,negative
 i guess it wasnt meant to be..,neutral
 i didnt think the vid was hoeish i actually love it.it was so nasty  lol,neutral
Just noticed  didn`t get the location right again!  Maybe a way to preview it before sending would be handy??,neutral
Ha ha 1 point for the men,neutral
_benson loved the #MacarAMBER!!!,positive
   someone is ignoring me  & being mean..,negative
"Going on 1,116 days still no new tattoo.",neutral
Rain makes for a good study day  almost done!!,positive
"just woke up..busy busy busy 2day...bake bbyshower cupcakes and jays bday cake, bleach hair again & see my boo",neutral
Ooh hayfever has struck..thought I was going to avoid it this year but nooo!  Remedies anyone...?,negative
is working,neutral
" Yeah, plus I always totally overspend",negative
My body hurt  I need a rub down like NOW!,negative
" Hope you get better. I know you will have the best medical attention. if not let me know, I will be right over",positive
sore from ultimate... trying to figure out how to pay for school next semester...,negative
Out with Audrey,neutral
 The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i`ll be home around 7 pm!!!  ****,positive
" well, the requirements are quite high as well",neutral
"  Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger",neutral
got paid nowhere near as much as she thought she would,neutral
 ooohhh. I understand. I never get sick of her so im on your moms side  I guess your dad just likes what he likes....lol,positive
 just a concert i can`t go to due to trials,neutral
so. I`m taking my life guarding classes fri (7-9pm) sat (9-6pm) sun (9-4pm) and mon (3-630pm) live eat and breath life guard stuff. yay.,positive
" Wish I could listen but because I`m from Canada, the website won`t let me!",negative
  not the same.. Can we party tonight jig,neutral
Done! Goin home to eat dindin and contemplate what the night holds for me,neutral
This world makes me sad,negative
 It`s is in the July issue of OXM... so I don`t have anything to link you to right now,neutral
Not really  but its work so yea kinda,neutral
Cant stop playin` in my head  -- pussycat dolls jai ho ellen degeneres [HD] http://bit.ly/HxLfm,neutral
 oh ok. Well good for you...can I get some weather updates instead??  jk.,positive
American trade journalists ask PRs `how are you` almost 100% of the time; UK journalists? Erm...not so much   How come?,neutral
"get down tonight: http://bit.ly/QxXhi  the bridesmaids, moms, bride & I rockin` the reception",positive
AHHHH! Cant find anything because I have way too much open,negative
funeral at 2.  today is going to be bad.,negative
 so great to hear from u again today! U r the best! Cannot wait to see u on the cruise!!! <3 Cindy with the sign,positive
 thanks!!  my friends and I went and watched movies and ate chocolate chip pancakes at one of my friends` house. it was fabulous!,positive
short work week for me,neutral
 hey whats up? did u like the new episode of JONAS?,neutral
working again today  but off tomorrow for dan`s party! yay!,positive
 lolol...i was trying to do that this morning but sadly i couldnt,negative
" ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",negative
"I want to go to VP, but no one is willing to come with me.",neutral
 That just means you were not trying hard enought,negative
 it was fun  Ate at mas.Thanks!!  Good luck w/ ur showing tomorrow.,negative
i want some followers,neutral
 gotta play `Off the Wall` first tho,neutral
" MISS YOU TOO! Yes, I will  I`m usually free pag after dinner. Rarely during the day. Basta text text",neutral
I`m in a traffic jam,neutral
hey twitter! i`m back online!,neutral
"Good am all..: hanging out with ma dad 2day, looking for a job still..",positive
 you will never be the same...,neutral
 she could have been a lost dog  poor girl,negative
